epoch,accuracy,loss,val_accuracy,val_loss
0,0.4320509135723114,1.2528809309005737,0.5187320113182068,1.1246328353881836
1,0.6205369234085083,0.9060105681419373,0.5100864768028259,1.1684471368789673
2,0.7063382267951965,0.7175676226615906,0.5677233338356018,1.1403840780258179
3,0.7769166827201843,0.5808988213539124,0.5273775458335876,1.232936143875122
4,0.8184334635734558,0.4791662096977234,0.5706051588058472,1.2567328214645386
5,0.8502629399299622,0.4009888768196106,0.559077799320221,1.4098753929138184
6,0.8760033249855042,0.3309512734413147,0.5331411957740784,1.4962220191955566
7,0.9047882556915283,0.27624887228012085,0.5821325778961182,1.4878418445587158
8,0.9316357374191284,0.2034042775630951,0.5850144028663635,1.6312825679779053
9,0.9316357374191284,0.19834744930267334,0.5648415088653564,1.827980399131775
10,0.945751428604126,0.16552503407001495,0.5446686148643494,1.7475656270980835
11,0.9515637755393982,0.14997629821300507,0.559077799320221,1.9053103923797607
12,0.9579296708106995,0.1302308291196823,0.5533141493797302,2.0245354175567627
13,0.9548851251602173,0.12942980229854584,0.5850144028663635,1.9517847299575806
14,0.9645723700523376,0.10976573824882507,0.5878962278366089,2.2179622650146484
15,0.9698311686515808,0.1008327305316925,0.5504322648048401,2.0880298614501953
16,0.9739828109741211,0.0834289938211441,0.559077799320221,2.2312374114990234
17,0.9692776203155518,0.08512655645608902,0.5533141493797302,2.4031620025634766
18,0.9739828109741211,0.07288418710231781,0.579250693321228,2.3262312412261963
19,0.974259614944458,0.06898357719182968,0.5677233338356018,2.627976655960083
20,0.9789648652076721,0.06515001505613327,0.5706051588058472,2.53839373588562
21,0.9543315768241882,0.13831929862499237,0.5504322648048401,2.8625197410583496
22,0.9640188217163086,0.11411870270967484,0.5763688683509827,2.5961403846740723
23,0.9698311686515808,0.08999429643154144,0.579250693321228,2.610994577407837
24,0.9662330746650696,0.09479168057441711,0.5389049053192139,2.399951219558716
