epoch,accuracy,loss,val_accuracy,val_loss
0,0.3692222535610199,1.3278093338012695,0.44092220067977905,1.283774495124817
1,0.6418488621711731,0.9819386005401611,0.680115282535553,0.9315523505210876
2,0.7960143685340881,0.5761393904685974,0.680115282535553,0.8139275312423706
3,0.848602294921875,0.4170081615447998,0.7233429551124573,0.8009833693504333
4,0.8848602175712585,0.33313822746276855,0.7146974205970764,0.8749148845672607
5,0.9075560569763184,0.272802472114563,0.7089337110519409,0.9244603514671326
6,0.92637699842453,0.22786420583724976,0.6887608170509338,0.9761283993721008
7,0.9404926896095276,0.1865154355764389,0.6887608170509338,1.0286556482315063
8,0.9554386734962463,0.1511671394109726,0.7118155360221863,1.0872728824615479
9,0.9629117250442505,0.13653607666492462,0.6916426420211792,1.131290316581726
10,0.9609742760658264,0.12305942922830582,0.6887608170509338,1.1954833269119263
11,0.9673401713371277,0.11086118221282959,0.6829971075057983,1.2343266010284424
12,0.9687240719795227,0.10206899046897888,0.6887608170509338,1.3270472288131714
13,0.9706615209579468,0.09665200859308243,0.6887608170509338,1.3193920850753784
14,0.9725989699363708,0.08819053322076797,0.6599423885345459,1.4160281419754028
15,0.973429262638092,0.08811939507722855,0.680115282535553,1.402532696723938
16,0.9739828109741211,0.0808301717042923,0.6657060384750366,1.4558135271072388
17,0.974259614944458,0.07735704630613327,0.6599423885345459,1.4847067594528198
18,0.973429262638092,0.0799238383769989,0.6714697480201721,1.487329363822937
19,0.975643515586853,0.07444918155670166,0.6829971075057983,1.5257543325424194
20,0.9767506122589111,0.06740906834602356,0.6887608170509338,1.5370038747787476
21,0.9778577089309692,0.06795282661914825,0.7002881765365601,1.5578771829605103
22,0.9781345129013062,0.0682230070233345,0.6599423885345459,1.7594757080078125
23,0.9761970639228821,0.06344267725944519,0.6829971075057983,1.637661337852478
24,0.9767506122589111,0.0662054494023323,0.6541786789894104,1.6227586269378662
